S1533010.025353
Kangaroa 30/03/2015 10:02:52 30/03/2015 10:02:53 0560 0176.5 0038.5 -2.20 0.00 22.0 1013.0
-2.5 -2.5 00.0  00.0 -2.6 00.2  00.0
0000020 0020 0000000 0000 02
1 0 1 16340 1 0780 7.50 00355.o 0 0 00 000 12 000020 0.500 BT0
1 1 1 16340 1 0750 7.50 00355.p 0 0 00 000 00 000020 4.3651 BC0
355.000 .o analog 0 	355.000 .p photon 0 
  4.5959	  4.0000
  4.6204	  1.0000
  4.6326	  3.0000
  4.5593	  7.0000
  4.5837	  7.0000
  4.5898	  5.0000
  4.6692	  4.0000
  4.6082	  4.0000
  4.5898	  2.0000
  4.5105	  6.0000
  4.5349	  3.0000
  4.5593	  6.0000
  4.5959	  9.0000
  4.5776	  1.0000
  4.5654	  4.0000
  4.5654	  4.0000
  4.4983	  8.0000
  4.5105	  7.0000
  4.5349	  6.0000
  4.5288	  5.0000
  4.5776	  4.0000
  4.5837	  2.0000
  4.5288	  7.0000
  4.5349	  5.0000
  4.5593	  3.0000
  4.6448	 10.0000
  4.5776	 11.0000
  4.5837	  4.0000
  4.5288	  5.0000
  4.5288	  7.0000
  4.5715	  5.0000
  4.5044	  5.0000
  4.5654	  6.0000
  4.5349	 10.0000
  4.5898	  4.0000
  4.5410	  8.0000
  4.5898	  4.0000
  4.5288	  4.0000
  4.5959	  4.0000
  4.5471	  5.0000
  4.5837	 11.0000
  4.6265	  3.0000
  4.5532	  2.0000
  4.5410	  9.0000
  4.5898	  1.0000
  4.5471	  4.0000
  4.5776	  4.0000
  4.5532	  4.0000
  4.5898	  6.0000
  4.5898	  9.0000
  4.5410	  4.0000
  4.6021	  6.0000
  4.5593	  9.0000
  4.5593	  5.0000
  4.5654	  4.0000
  4.6082	  7.0000
  4.3274	  7.0000
  4.3457	  5.0000
  4.3457	  1.0000
  4.3274	  5.0000
  4.3518	  4.0000
  4.3701	  3.0000
  4.3213	  4.0000
  4.3213	  7.0000
  4.3518	  6.0000
  4.3518	  2.0000
  4.3091	  1.0000
  4.2847	  2.0000
  4.3945	  3.0000
  4.3335	  3.0000
  4.3030	  7.0000
  4.3701	  7.0000
  4.3579	  1.0000
  4.3640	  4.0000
  4.3457	  6.0000
  4.3030	  7.0000
  4.3335	  7.0000
  4.2908	  5.0000
  4.3457	  4.0000
  4.3274	  4.0000
  4.3213	  3.0000
  4.2908	  3.0000
  4.3457	  2.0000
  4.3335	  3.0000
  4.3640	  2.0000
  4.3457	  2.0000
  4.2908	  5.0000
  4.3091	  4.0000
  4.3579	  4.0000
  4.2786	  3.0000
  4.3152	  2.0000
  4.3152	  7.0000
  4.2847	  2.0000
  4.3213	  4.0000
  4.2908	  2.0000
  4.3335	  4.0000
  4.2908	  1.0000
  4.3396	  6.0000
  4.2847	  6.0000
  4.3579	  7.0000
  4.3396	  7.0000
  4.3030	  4.0000
  4.2725	  1.0000
  4.3335	  5.0000
  4.3457	  3.0000
  4.2847	  4.0000
  4.3762	  3.0000
  4.3213	  3.0000
